participant_id,referral_date,county,primary_barrier,monthly_income,housing_goal,placed,days_to_placement,retained_90_days
H-1052,2026-02-08,Frederick,income,950,rent,1,85.0,1
H-1053,2026-04-11,Frederick,transportation,1200,rent,1,41.0,1
H-1054,2026-03-26,Prince George's,voucher_waitlist,2500,rent,1,60.0,1
H-1055,2026-02-13,Frederick,accessibility,2500,homeownership readiness,1,114.0,1
H-1056,2026-04-01,Howard,voucher_waitlist,2100,shared housing,1,21.0,1
H-1057,2026-01-06,Montgomery,documentation,1200,voucher,1,79.0,1
H-1058,2026-04-09,Howard,accessibility,2500,voucher,1,29.0,0
H-1059,2026-05-24,Prince George's,transportation,3100,rent,0,,0
H-1060,2026-04-03,Prince George's,documentation,950,shared housing,1,51.0,1
H-1061,2026-04-03,Frederick,accessibility,950,shared housing,1,65.0,1
H-1062,2026-05-04,Prince George's,accessibility,1200,voucher,1,52.0,1
H-1063,2026-01-02,Frederick,transportation,2500,shared housing,1,72.0,1
H-1064,2026-05-31,Prince George's,accessibility,3100,shared housing,0,,0
H-1065,2026-03-06,Prince George's,voucher_waitlist,950,voucher,1,30.0,1
H-1066,2026-05-29,Howard,documentation,2100,rent,1,80.0,1
H-1067,2026-03-23,Howard,voucher_waitlist,950,voucher,1,56.0,1
H-1068,2026-03-02,Prince George's,income,2100,homeownership readiness,0,,0
H-1069,2026-02-21,Montgomery,credit,1200,rent,1,85.0,1
H-1070,2026-01-13,Montgomery,voucher_waitlist,1600,voucher,0,,0
H-1071,2026-01-02,Montgomery,documentation,1600,rent,1,55.0,1
H-1072,2026-03-24,Montgomery,documentation,2100,homeownership readiness,1,116.0,1
H-1073,2026-02-14,Frederick,income,950,shared housing,0,,0
H-1074,2026-05-07,Frederick,income,950,shared housing,1,53.0,1
H-1075,2026-01-15,Howard,credit,950,rent,1,99.0,1
H-1076,2026-02-23,Montgomery,accessibility,1600,homeownership readiness,1,88.0,1
H-1077,2026-05-18,Howard,credit,3100,shared housing,1,105.0,1
H-1078,2026-01-09,Frederick,voucher_waitlist,1600,shared housing,1,104.0,1
H-1079,2026-02-03,Frederick,income,3100,shared housing,1,22.0,1
H-1080,2026-02-28,Montgomery,income,2500,voucher,1,117.0,0
H-1081,2026-01-16,Prince George's,accessibility,2500,shared housing,1,92.0,1
H-1082,2026-02-15,Montgomery,accessibility,3100,voucher,1,88.0,1
H-1083,2026-05-08,Howard,transportation,2100,voucher,1,102.0,1
H-1084,2026-01-07,Montgomery,income,3100,homeownership readiness,0,,0
H-1085,2026-03-31,Prince George's,voucher_waitlist,2100,homeownership readiness,0,,0
H-1086,2026-04-07,Howard,income,1600,homeownership readiness,1,24.0,1
H-1087,2026-03-01,Howard,transportation,3100,shared housing,1,47.0,1
H-1088,2026-05-08,Prince George's,transportation,1600,voucher,1,93.0,1
H-1089,2026-03-14,Howard,income,2100,voucher,0,,0
H-1090,2026-02-11,Frederick,credit,2500,rent,1,108.0,1
H-1091,2026-04-03,Frederick,credit,2100,voucher,0,,0
H-1092,2026-03-18,Montgomery,credit,950,voucher,0,,0
H-1093,2026-03-19,Howard,income,1200,homeownership readiness,1,85.0,1
H-1094,2026-01-24,Frederick,accessibility,950,voucher,1,64.0,1
H-1095,2026-01-04,Prince George's,voucher_waitlist,2500,voucher,0,,0
H-1096,2026-05-28,Montgomery,documentation,950,rent,1,110.0,1
H-1097,2026-01-17,Montgomery,transportation,1200,homeownership readiness,0,,0
H-1098,2026-01-01,Prince George's,documentation,3100,rent,1,49.0,1
H-1099,2026-05-08,Howard,credit,1200,rent,0,,0
H-1100,2026-03-11,Howard,accessibility,950,rent,1,22.0,1
H-1101,2026-05-11,Frederick,voucher_waitlist,1600,shared housing,0,,0
H-1102,2026-01-03,Montgomery,documentation,2100,shared housing,1,109.0,1
H-1103,2026-04-16,Frederick,accessibility,2500,homeownership readiness,1,72.0,1
H-1104,2026-02-08,Frederick,transportation,1200,rent,1,118.0,1
H-1105,2026-05-09,Frederick,credit,1200,rent,1,109.0,0
H-1106,2026-01-09,Frederick,documentation,2500,shared housing,0,,0
H-1107,2026-04-24,Montgomery,transportation,3100,homeownership readiness,1,79.0,1
H-1108,2026-05-20,Frederick,accessibility,3100,rent,1,51.0,1
H-1109,2026-05-15,Howard,income,3100,voucher,1,99.0,1
H-1110,2026-03-09,Howard,voucher_waitlist,2500,homeownership readiness,1,113.0,1
H-1111,2026-02-06,Howard,voucher_waitlist,1200,voucher,0,,0
H-1112,2026-04-04,Prince George's,credit,3100,homeownership readiness,1,107.0,1
H-1113,2026-01-12,Howard,transportation,950,homeownership readiness,1,69.0,1
H-1114,2026-03-06,Howard,accessibility,3100,shared housing,1,34.0,1
H-1115,2026-01-23,Howard,transportation,3100,rent,1,71.0,1
H-1116,2026-05-03,Prince George's,income,3100,voucher,1,118.0,1
H-1117,2026-05-06,Howard,voucher_waitlist,1600,homeownership readiness,1,100.0,1
H-1118,2026-01-05,Howard,income,2500,voucher,1,21.0,1
H-1119,2026-05-20,Howard,credit,1600,homeownership readiness,1,62.0,0
