transaction_id,week_start,zip_code,price_band,list_price,accepted_offer_price,offer_to_list_ratio,days_on_market,inspection_waived,appraisal_gap,seller_credit,offer_count
OI-1035,2025-03-19,22201,$1M+,1125000,1184000,1.052,1,0,0,15000,5
OI-1036,2025-03-26,20910,$300K-$500K,975000,940000,0.964,24,0,0,0,6
OI-1037,2025-04-02,20720,$500K-$750K,825000,841000,1.019,13,0,25000,15000,4
OI-1038,2025-04-09,22201,$500K-$750K,825000,820000,0.994,17,1,10000,10000,3
OI-1039,2025-04-16,20010,$750K-$1M,1125000,1147000,1.02,1,0,15000,15000,1
OI-1040,2025-04-23,20720,$500K-$750K,825000,798000,0.967,17,0,10000,10000,3
OI-1041,2025-04-30,22314,$750K-$1M,975000,971000,0.996,1,0,0,15000,2
OI-1042,2025-05-07,20011,$750K-$1M,975000,1023000,1.049,13,0,10000,10000,2
OI-1043,2025-05-14,22201,$300K-$500K,825000,822000,0.996,10,1,0,0,2
OI-1044,2025-05-21,20011,$750K-$1M,825000,791000,0.959,20,0,25000,5000,4
OI-1045,2025-05-28,22201,$1M+,650000,653000,1.005,34,0,25000,0,3
OI-1046,2025-06-04,20910,$500K-$750K,1125000,1185000,1.053,6,0,5000,5000,1
OI-1047,2025-06-11,20011,$500K-$750K,650000,655000,1.008,16,1,15000,0,3
OI-1048,2025-01-01,20010,$300K-$500K,825000,825000,1.0,3,0,0,5000,2
OI-1049,2025-01-08,22314,$500K-$750K,425000,440000,1.035,11,0,10000,5000,4
OI-1050,2025-01-15,20010,$300K-$500K,1125000,1137000,1.011,9,1,25000,10000,3
OI-1051,2025-01-22,22314,$1M+,425000,413000,0.972,2,1,10000,0,5
OI-1052,2025-01-29,20720,$1M+,550000,558000,1.015,14,0,0,5000,4
OI-1053,2025-02-05,20910,$500K-$750K,425000,415000,0.976,12,0,0,15000,2
OI-1054,2025-02-12,22314,$500K-$750K,650000,705000,1.085,14,1,25000,5000,7
OI-1055,2025-02-19,22201,$500K-$750K,425000,411000,0.967,13,1,5000,10000,5
OI-1056,2025-02-26,20010,$500K-$750K,550000,555000,1.009,13,0,0,15000,3
OI-1057,2025-03-05,20011,$500K-$750K,550000,550000,1.0,9,0,10000,10000,6
OI-1058,2025-03-12,22314,$300K-$500K,550000,566000,1.029,4,0,5000,10000,2
OI-1059,2025-03-19,22314,$750K-$1M,425000,436000,1.026,19,1,0,0,4
OI-1060,2025-03-26,22201,$1M+,975000,1015000,1.041,3,1,0,10000,5
OI-1061,2025-04-02,22201,$750K-$1M,1125000,1061000,0.943,4,0,0,0,3
OI-1062,2025-04-09,20011,$750K-$1M,650000,628000,0.966,16,0,10000,5000,6
OI-1063,2025-04-16,20010,$1M+,975000,913000,0.936,15,1,0,0,3
OI-1064,2025-04-23,20720,$500K-$750K,425000,412000,0.969,16,0,5000,5000,4
OI-1065,2025-04-30,20010,$500K-$750K,1125000,1107000,0.984,8,0,5000,0,4
OI-1066,2025-05-07,20010,$1M+,425000,410000,0.965,10,0,15000,15000,4
OI-1067,2025-05-14,20011,$300K-$500K,975000,922000,0.946,20,0,0,0,3
OI-1068,2025-05-21,20910,$750K-$1M,550000,551000,1.002,13,1,0,10000,4
OI-1069,2025-05-28,20720,$750K-$1M,975000,956000,0.981,12,0,10000,0,2
OI-1070,2025-06-04,22201,$500K-$750K,650000,653000,1.005,11,0,10000,0,2
OI-1071,2025-06-11,20010,$500K-$750K,825000,839000,1.017,35,0,15000,15000,2
OI-1072,2025-01-01,20011,$1M+,550000,565000,1.027,13,0,5000,0,6
OI-1073,2025-01-08,20720,$500K-$750K,975000,1026000,1.052,27,1,15000,0,5
OI-1074,2025-01-15,20010,$500K-$750K,550000,538000,0.978,28,0,0,10000,4
OI-1075,2025-01-22,22201,$500K-$750K,1125000,1190000,1.058,11,1,15000,10000,7
OI-1076,2025-01-29,22314,$500K-$750K,825000,893000,1.082,21,0,0,5000,3
OI-1077,2025-02-05,20011,$500K-$750K,825000,834000,1.011,21,0,15000,10000,6
OI-1078,2025-02-12,20010,$500K-$750K,425000,461000,1.085,27,0,25000,0,1
OI-1079,2025-02-19,20010,$750K-$1M,650000,609000,0.937,14,0,15000,5000,4
OI-1080,2025-02-26,20010,$750K-$1M,650000,724000,1.114,2,0,10000,15000,4
OI-1081,2025-03-05,22314,$750K-$1M,425000,416000,0.979,15,0,10000,0,1
OI-1082,2025-03-12,22201,$750K-$1M,425000,419000,0.986,26,0,0,5000,4
OI-1083,2025-03-19,22314,$500K-$750K,975000,976000,1.001,15,0,0,15000,3
OI-1084,2025-03-26,22201,$500K-$750K,650000,659000,1.014,3,1,0,0,5
OI-1085,2025-04-02,22201,$1M+,425000,457000,1.075,27,1,15000,15000,5
OI-1086,2025-04-09,22314,$500K-$750K,425000,404000,0.951,10,0,0,15000,6
OI-1087,2025-04-16,20720,$1M+,550000,550000,1.0,19,0,0,5000,5
OI-1088,2025-04-23,20720,$1M+,975000,1012000,1.038,4,0,5000,5000,4
OI-1089,2025-04-30,20910,$750K-$1M,975000,1018000,1.044,14,0,25000,0,1
OI-1090,2025-05-07,20720,$1M+,650000,663000,1.02,13,0,0,10000,6
OI-1091,2025-05-14,20910,$300K-$500K,650000,675000,1.038,15,0,0,0,3
OI-1092,2025-05-21,20011,$300K-$500K,425000,433000,1.019,1,0,0,15000,2
OI-1093,2025-05-28,20720,$750K-$1M,425000,436000,1.026,13,0,5000,5000,3
OI-1094,2025-06-04,20720,$750K-$1M,650000,643000,0.989,16,0,15000,0,4
OI-1095,2025-06-11,20010,$300K-$500K,825000,855000,1.036,15,1,0,15000,1
OI-1096,2025-01-01,20010,$1M+,425000,428000,1.007,14,0,5000,0,5
OI-1097,2025-01-08,20011,$1M+,550000,520000,0.945,27,0,25000,5000,3
OI-1098,2025-01-15,22201,$500K-$750K,825000,822000,0.996,9,0,10000,0,5
OI-1099,2025-01-22,22201,$500K-$750K,975000,998000,1.024,23,0,0,10000,3
OI-1100,2025-01-29,20720,$500K-$750K,975000,961000,0.986,14,0,25000,0,4
OI-1101,2025-02-05,20720,$300K-$500K,550000,548000,0.996,1,0,10000,0,5
OI-1102,2025-02-12,22314,$500K-$750K,550000,554000,1.007,14,1,0,0,1
OI-1103,2025-02-19,20720,$1M+,425000,425000,1.0,28,0,25000,0,4
OI-1104,2025-02-26,22314,$500K-$750K,650000,625000,0.962,27,0,5000,10000,3
OI-1105,2025-03-05,20010,$750K-$1M,825000,836000,1.013,20,1,0,0,2
OI-1106,2025-03-12,20910,$1M+,1125000,1138000,1.012,15,0,25000,5000,4
OI-1107,2025-03-19,22314,$300K-$500K,825000,788000,0.955,22,0,5000,5000,3
OI-1108,2025-03-26,20720,$750K-$1M,425000,426000,1.002,15,0,25000,10000,7
OI-1109,2025-04-02,20011,$500K-$750K,550000,554000,1.007,13,0,0,5000,7
OI-1110,2025-04-09,20910,$500K-$750K,825000,831000,1.007,21,0,5000,10000,5
OI-1111,2025-04-16,20720,$750K-$1M,1125000,1168000,1.038,9,0,25000,5000,2
OI-1112,2025-04-23,20011,$500K-$750K,825000,840000,1.018,10,0,0,0,5
OI-1113,2025-04-30,20910,$500K-$750K,550000,539000,0.98,18,0,25000,15000,1
OI-1114,2025-05-07,20011,$750K-$1M,975000,996000,1.022,7,1,10000,15000,1
OI-1115,2025-05-14,20010,$300K-$500K,550000,564000,1.025,7,1,25000,5000,5
OI-1116,2025-05-21,20720,$300K-$500K,825000,809000,0.981,18,1,10000,0,4
OI-1117,2025-05-28,20910,$500K-$750K,1125000,1119000,0.995,9,0,15000,0,5
OI-1118,2025-06-04,22201,$750K-$1M,825000,824000,0.999,19,0,25000,5000,3
OI-1119,2025-06-11,22201,$300K-$500K,825000,836000,1.013,28,0,15000,15000,5
OI-1120,2025-01-01,20720,$300K-$500K,1125000,1174000,1.044,2,1,25000,0,2
OI-1121,2025-01-08,20720,$300K-$500K,425000,427000,1.005,3,0,15000,5000,5
OI-1122,2025-01-15,20720,$300K-$500K,425000,421000,0.991,13,0,10000,15000,5
OI-1123,2025-01-22,20910,$500K-$750K,425000,409000,0.962,13,0,0,10000,2
OI-1124,2025-01-29,20720,$300K-$500K,425000,427000,1.005,9,1,0,5000,4
OI-1125,2025-02-05,20720,$500K-$750K,1125000,1100000,0.978,17,1,10000,5000,8
OI-1126,2025-02-12,20720,$500K-$750K,975000,949000,0.973,16,1,10000,0,2
OI-1127,2025-02-19,22314,$750K-$1M,1125000,1175000,1.044,23,0,5000,0,5
OI-1128,2025-02-26,20011,$500K-$750K,975000,960000,0.985,16,1,0,10000,3
OI-1129,2025-03-05,20011,$750K-$1M,550000,570000,1.036,8,0,5000,0,4
OI-1130,2025-03-12,20910,$1M+,975000,975000,1.0,19,0,5000,15000,1
OI-1131,2025-03-19,20011,$1M+,1125000,1110000,0.987,13,0,0,0,3
OI-1132,2025-03-26,22314,$500K-$750K,650000,688000,1.058,8,0,25000,5000,2
OI-1133,2025-04-02,22201,$1M+,825000,831000,1.007,18,0,5000,5000,4
OI-1134,2025-04-09,20010,$750K-$1M,425000,433000,1.019,22,0,10000,15000,2
OI-1135,2025-04-16,22314,$300K-$500K,425000,418000,0.984,27,0,25000,0,2
OI-1136,2025-04-23,20010,$750K-$1M,1125000,1137000,1.011,8,0,0,5000,7
OI-1137,2025-04-30,20011,$500K-$750K,1125000,1170000,1.04,1,1,25000,0,3
OI-1138,2025-05-07,20010,$1M+,825000,797000,0.966,9,0,10000,0,5
OI-1139,2025-05-14,22201,$500K-$750K,550000,519000,0.944,23,0,25000,0,3
OI-1140,2025-05-21,20010,$750K-$1M,550000,554000,1.007,20,0,10000,0,2
OI-1141,2025-05-28,22201,$1M+,550000,521000,0.947,4,1,0,0,8
OI-1142,2025-06-04,20011,$750K-$1M,550000,568000,1.033,12,0,0,0,3
OI-1143,2025-06-11,20011,$750K-$1M,550000,549000,0.998,6,1,0,5000,4
OI-1144,2025-01-01,20010,$500K-$750K,550000,556000,1.011,22,1,5000,0,1
OI-1145,2025-01-08,22201,$500K-$750K,1125000,1147000,1.02,15,0,15000,5000,1
OI-1146,2025-01-15,22314,$500K-$750K,825000,799000,0.968,20,0,15000,5000,5
OI-1147,2025-01-22,20910,$300K-$500K,650000,658000,1.012,5,1,15000,0,3
OI-1148,2025-01-29,20910,$500K-$750K,1125000,1136000,1.01,9,0,5000,5000,8
OI-1149,2025-02-05,20910,$500K-$750K,425000,435000,1.024,17,0,25000,0,3
OI-1150,2025-02-12,20010,$500K-$750K,650000,689000,1.06,2,1,0,0,6
OI-1151,2025-02-19,20011,$1M+,825000,845000,1.024,10,0,25000,10000,6
OI-1152,2025-02-26,20720,$750K-$1M,650000,620000,0.954,8,0,5000,0,4
OI-1153,2025-03-05,20010,$500K-$750K,825000,788000,0.955,12,1,25000,0,4
OI-1154,2025-03-12,20011,$300K-$500K,1125000,1159000,1.03,6,1,0,0,2
OI-1155,2025-03-19,22314,$300K-$500K,1125000,1226000,1.09,15,1,15000,5000,1
OI-1156,2025-03-26,20910,$500K-$750K,1125000,1156000,1.028,16,0,10000,15000,2
OI-1157,2025-04-02,20010,$1M+,650000,629000,0.968,24,0,0,0,3
OI-1158,2025-04-09,20010,$300K-$500K,650000,621000,0.955,16,0,15000,10000,5
OI-1159,2025-04-16,20720,$500K-$750K,425000,479000,1.127,10,0,25000,0,6
OI-1160,2025-04-23,20720,$500K-$750K,975000,948000,0.972,12,1,15000,15000,1
OI-1161,2025-04-30,20011,$1M+,975000,951000,0.975,29,0,25000,5000,2
OI-1162,2025-05-07,20011,$1M+,975000,1001000,1.027,11,0,0,10000,4
OI-1163,2025-05-14,20910,$500K-$750K,425000,442000,1.04,2,0,0,0,2
OI-1164,2025-05-21,20720,$1M+,650000,658000,1.012,11,0,10000,0,5
OI-1165,2025-05-28,20720,$500K-$750K,425000,425000,1.0,13,0,25000,15000,4
OI-1166,2025-06-04,20011,$750K-$1M,650000,683000,1.051,28,1,25000,0,4
OI-1167,2025-06-11,20010,$300K-$500K,550000,556000,1.011,18,0,15000,0,6
OI-1168,2025-01-01,20720,$300K-$500K,825000,874000,1.059,5,0,25000,15000,4
OI-1169,2025-01-08,20010,$300K-$500K,550000,552000,1.004,26,1,15000,10000,1
OI-1170,2025-01-15,20910,$300K-$500K,650000,692000,1.065,10,1,0,0,2
OI-1171,2025-01-22,20010,$500K-$750K,425000,425000,1.0,21,1,5000,10000,3
OI-1172,2025-01-29,20910,$500K-$750K,550000,574000,1.044,12,1,0,0,2
OI-1173,2025-02-05,20011,$750K-$1M,825000,810000,0.982,14,1,25000,0,6
OI-1174,2025-02-12,22314,$750K-$1M,650000,660000,1.015,10,0,25000,0,3
OI-1175,2025-02-19,20910,$500K-$750K,1125000,1105000,0.982,15,0,0,5000,2
OI-1176,2025-02-26,22201,$1M+,825000,849000,1.029,14,1,25000,0,4
OI-1177,2025-03-05,20910,$500K-$750K,650000,659000,1.014,16,0,25000,10000,6
OI-1178,2025-03-12,20011,$300K-$500K,550000,538000,0.978,15,0,0,0,4
OI-1179,2025-03-19,22314,$500K-$750K,650000,642000,0.988,4,0,10000,0,5
