month,property_id,market,total_units,occupied_units,occupancy_rate,renewal_rate,delinquency_rate,maintenance_tickets,avg_days_to_turn,monthly_revenue
2026-01-01,P-404,Maryland,125,114,0.912,0.762,0.098,63,30,234498
2026-02-01,P-101,Northern VA,65,57,0.877,0.753,0.096,55,13,116907
2026-02-01,P-202,Northern VA,125,117,0.936,0.705,0.104,115,8,216567
2026-02-01,P-303,Maryland,125,119,0.952,0.759,0.051,73,19,183141
2026-02-01,P-404,Northern VA,80,75,0.938,0.729,0.101,79,32,132150
2026-03-01,P-101,Maryland,65,59,0.908,0.554,0.03,85,20,110330
2026-03-01,P-202,Northern VA,100,92,0.92,0.697,0.027,75,21,191728
2026-03-01,P-303,DC,65,59,0.908,0.818,0.037,81,20,125434
2026-03-01,P-404,Maryland,80,71,0.887,0.719,0.054,48,19,122617
2026-04-01,P-101,Northern VA,100,97,0.97,0.595,0.052,103,19,171205
2026-04-01,P-202,Maryland,125,113,0.904,0.764,0.075,45,19,224757
2026-04-01,P-303,DC,65,57,0.877,0.578,0.042,97,32,120954
2026-04-01,P-404,Maryland,100,95,0.95,0.577,0.07,90,28,174325
2026-05-01,P-101,Northern VA,80,77,0.963,0.73,0.027,104,17,146608
2026-05-01,P-202,Northern VA,100,97,0.97,0.632,0.084,112,19,192448
2026-05-01,P-303,Northern VA,65,63,0.969,0.683,0.082,27,8,135387
2026-05-01,P-404,Northern VA,65,60,0.923,0.634,0.066,44,30,124260
2026-06-01,P-101,Northern VA,125,110,0.88,0.68,0.021,59,11,180620
2026-06-01,P-202,DC,65,63,0.969,0.752,0.078,60,27,140490
2026-06-01,P-303,Maryland,80,72,0.9,0.557,0.069,77,27,110592
2026-06-01,P-404,Maryland,125,116,0.928,0.647,0.101,66,12,236408
