applicant_id,annual_income,credit_score,debt_to_income,loan_to_value,loan_amount,employment_years,default_risk
CR-1126,45138,605,0.23,0.96,672694,10,0
CR-1127,51613,723,0.39,0.71,451074,10,1
CR-1128,49206,695,0.55,0.66,246482,19,0
CR-1129,48858,694,0.46,0.65,538296,16,0
CR-1130,106460,586,0.24,0.88,583947,9,1
CR-1131,135980,719,0.19,0.89,278785,2,1
CR-1132,118836,791,0.24,0.9,277855,15,0
CR-1133,116059,566,0.35,0.67,293136,20,0
CR-1134,101941,692,0.28,0.79,239854,0,0
CR-1135,71987,673,0.47,0.79,656305,19,0
CR-1136,67209,664,0.54,0.96,453454,4,1
CR-1137,62623,797,0.2,0.89,595779,10,0
CR-1138,110538,588,0.47,0.89,510827,2,1
CR-1139,80464,681,0.2,0.66,664185,0,0
CR-1140,67913,819,0.31,0.87,679600,16,0
CR-1141,82733,614,0.49,0.84,585827,13,1
CR-1142,105376,673,0.21,0.77,618720,11,1
CR-1143,112121,721,0.36,0.83,657864,2,0
CR-1144,125467,628,0.55,0.61,315216,2,1
CR-1145,103062,577,0.45,0.71,251869,10,1
CR-1146,99324,634,0.39,0.75,233714,1,0
CR-1147,79752,629,0.54,0.8,254070,10,1
CR-1148,63493,768,0.51,0.66,585666,13,0
CR-1149,134786,623,0.32,0.93,302663,2,1
CR-1150,76022,757,0.56,0.77,482730,14,0
CR-1151,93537,626,0.47,0.88,694898,3,1
CR-1152,155694,733,0.51,0.9,447551,16,0
CR-1153,103500,636,0.51,0.96,516843,10,1
CR-1154,64650,734,0.47,0.85,239120,0,1
CR-1155,155122,736,0.27,0.6,221271,1,0
CR-1156,84868,722,0.27,0.9,563609,9,0
CR-1157,91106,761,0.43,0.74,418176,0,0
CR-1158,161214,685,0.45,0.9,359750,4,0
CR-1159,148563,818,0.3,0.84,638220,9,1
CR-1160,59510,732,0.28,0.85,542050,5,0
CR-1161,153132,631,0.31,0.92,657833,10,0
CR-1162,103632,669,0.49,0.87,441456,2,0
CR-1163,55159,573,0.23,0.93,418126,11,0
CR-1164,51260,814,0.43,0.87,664513,20,0
CR-1165,94670,804,0.3,0.95,673327,10,0
CR-1166,159920,719,0.32,0.87,291027,19,0
CR-1167,119003,595,0.58,0.78,616641,0,1
CR-1168,157403,676,0.56,0.68,749133,11,0
CR-1169,163583,623,0.56,0.84,216579,14,1
CR-1170,119446,572,0.41,0.87,276820,5,1
CR-1171,110639,742,0.3,0.64,409646,11,0
CR-1172,157750,781,0.56,0.66,617061,6,0
CR-1173,84894,728,0.3,0.79,695136,17,0
CR-1174,140589,633,0.38,0.82,352035,5,1
CR-1175,44300,617,0.54,0.92,559282,1,1
CR-1176,163108,818,0.2,0.61,715610,14,0
CR-1177,164241,669,0.24,0.65,211895,13,1
CR-1178,59858,692,0.42,0.82,620685,6,0
CR-1179,109269,587,0.43,0.63,536731,5,0
CR-1180,140088,690,0.49,0.69,423433,19,0
CR-1181,64922,663,0.54,0.96,295139,14,1
CR-1182,135334,670,0.42,0.7,715694,1,1
CR-1183,106015,786,0.56,0.92,615204,4,0
CR-1184,83934,670,0.36,0.97,608086,7,0
CR-1185,68066,769,0.27,0.73,497915,9,1
CR-1186,63224,788,0.43,0.63,511129,3,0
CR-1187,108133,773,0.3,0.78,689868,15,1
CR-1188,78318,661,0.37,0.77,704470,5,0
CR-1189,72528,756,0.21,0.96,285318,11,1
CR-1190,138213,740,0.35,0.86,339725,14,1
CR-1191,155290,563,0.51,0.62,679962,11,1
CR-1192,108703,765,0.43,0.95,344070,17,0
CR-1193,127510,562,0.45,0.95,332375,20,1
CR-1194,89952,764,0.45,0.89,536577,5,0
CR-1195,114009,653,0.4,0.71,208048,19,0
CR-1196,84364,785,0.5,0.78,726799,0,0
CR-1197,87854,726,0.4,0.84,301898,10,1
CR-1198,75364,693,0.33,0.61,250458,11,1
CR-1199,148221,566,0.55,0.7,528513,9,1
CR-1200,149668,753,0.38,0.61,399888,1,0
CR-1201,138563,635,0.5,0.72,409925,1,1
CR-1202,99229,614,0.29,0.95,335781,13,0
CR-1203,151776,814,0.26,0.92,622734,2,1
CR-1204,124518,651,0.53,0.82,219946,2,0
CR-1205,49332,579,0.24,0.61,297792,14,0
CR-1206,63237,661,0.22,0.83,558159,3,0
CR-1207,154328,760,0.35,0.75,423946,15,1
CR-1208,45207,649,0.58,0.66,548066,20,0
CR-1209,138623,788,0.44,0.8,640931,17,0
CR-1210,145666,567,0.53,0.77,204131,19,1
CR-1211,125011,762,0.31,0.79,230455,17,0
CR-1212,109703,649,0.24,0.85,184824,16,0
CR-1213,147127,562,0.55,0.91,559541,13,1
CR-1214,134480,754,0.45,0.87,529971,15,1
CR-1215,118030,642,0.55,0.72,380134,8,1
CR-1216,160460,562,0.26,0.97,513733,20,0
CR-1217,141294,732,0.4,0.66,468475,2,1
CR-1218,106492,583,0.55,0.66,266628,18,1
CR-1219,96308,819,0.54,0.76,271505,18,0
CR-1220,143853,752,0.23,0.7,636515,14,0
CR-1221,157683,691,0.47,0.63,566246,3,1
CR-1222,46677,713,0.38,0.68,471399,11,0
CR-1223,68960,816,0.55,0.97,627487,18,1
CR-1224,132787,702,0.5,0.77,600747,15,0
CR-1225,57545,634,0.2,0.9,236127,19,0
CR-1226,155372,627,0.4,0.73,441203,8,1
CR-1227,148814,787,0.38,0.78,265761,1,0
CR-1228,70234,800,0.37,0.92,485135,10,0
CR-1229,152085,654,0.55,0.95,305921,20,1
CR-1230,66370,693,0.52,0.72,413964,15,0
CR-1231,154402,688,0.49,0.7,411898,5,0
CR-1232,160808,714,0.58,0.96,246147,20,1
CR-1233,92217,787,0.39,0.68,672464,10,1
CR-1234,131390,756,0.2,0.69,684230,16,1
CR-1235,67681,642,0.55,0.79,513716,12,0
CR-1236,158580,630,0.25,0.93,697116,8,1
CR-1237,115822,814,0.33,0.88,350003,10,0
CR-1238,158140,754,0.22,0.96,702894,18,0
CR-1239,79042,757,0.57,0.81,509100,0,0
CR-1240,83659,623,0.26,0.95,567422,18,1
CR-1241,143970,745,0.56,0.78,749623,5,0
CR-1242,89231,657,0.26,0.71,247505,13,0
CR-1243,43289,596,0.26,0.68,428779,3,0
CR-1244,131684,611,0.29,0.97,459515,1,0
CR-1245,97908,703,0.22,0.72,720199,13,0
CR-1246,87878,652,0.54,0.6,367946,7,0
CR-1247,55324,622,0.26,0.7,582813,12,0
CR-1248,133413,777,0.19,0.64,719390,4,0
CR-1249,98074,571,0.33,0.95,628313,19,0
CR-1250,111644,642,0.44,0.74,319877,11,0
CR-1251,162469,690,0.54,0.8,345848,4,0
CR-1252,61577,623,0.22,0.66,700699,13,0
CR-1253,102729,567,0.4,0.87,623194,4,0
CR-1254,73031,562,0.55,0.69,554774,7,1
CR-1255,143397,804,0.22,0.82,531818,15,1
CR-1256,142284,585,0.2,0.77,219441,19,0
CR-1257,163257,595,0.25,0.7,273163,10,0
CR-1258,127043,717,0.21,0.63,436254,4,1
CR-1259,64554,726,0.3,0.94,718492,13,0
CR-1260,163683,583,0.25,0.78,241223,9,0
CR-1261,108439,584,0.2,0.64,715444,12,0
CR-1262,64032,667,0.27,0.76,275900,7,1
CR-1263,160305,674,0.37,0.84,388021,13,0
CR-1264,53509,707,0.39,0.97,440222,8,0
CR-1265,128694,673,0.45,0.61,631631,2,1
CR-1266,62412,589,0.21,0.8,284731,12,0
CR-1267,107837,689,0.45,0.67,649636,9,1
CR-1268,50318,802,0.55,0.65,687171,13,0
CR-1269,58653,572,0.44,0.86,227422,2,1
CR-1270,56796,682,0.5,0.62,544877,5,0
CR-1271,133157,768,0.51,0.86,349659,14,0
CR-1272,99401,627,0.25,0.63,426623,20,1
CR-1273,160915,693,0.24,0.87,579075,2,0
CR-1274,130014,638,0.27,0.62,268298,9,0
CR-1275,119353,786,0.31,0.96,506273,16,0
CR-1276,68760,732,0.37,0.65,715294,17,0
CR-1277,119076,702,0.58,0.84,708366,0,0
CR-1278,96890,654,0.35,0.62,469186,3,0
CR-1279,142931,788,0.43,0.89,441056,16,1
CR-1280,113111,708,0.33,0.71,449271,15,0
CR-1281,84031,669,0.47,0.87,501278,14,0
CR-1282,89115,744,0.21,0.87,425162,13,0
CR-1283,127798,690,0.47,0.84,466043,17,0
CR-1284,49978,769,0.32,0.61,420441,10,0
CR-1285,86160,655,0.37,0.78,386608,8,0
CR-1286,159485,627,0.37,0.93,640588,9,1
CR-1287,97211,638,0.24,0.96,345463,11,0
CR-1288,78822,685,0.2,0.72,236516,13,0
CR-1289,97578,751,0.26,0.79,464807,14,0
CR-1290,108913,690,0.34,0.97,589003,5,1
CR-1291,91713,750,0.49,0.64,529127,4,0
CR-1292,131073,656,0.19,0.68,488064,3,0
CR-1293,68239,683,0.46,0.69,307174,1,0
CR-1294,116924,606,0.31,0.79,428898,6,0
CR-1295,99738,773,0.3,0.94,419330,3,0
CR-1296,85506,683,0.57,0.84,435404,10,1
CR-1297,118971,579,0.28,0.79,462256,15,0
CR-1298,143734,799,0.47,0.97,578791,14,0
CR-1299,71862,649,0.42,0.89,586046,5,1
CR-1300,146811,693,0.56,0.88,275361,9,1
CR-1301,102536,561,0.53,0.62,275398,5,1
CR-1302,90356,770,0.18,0.79,544743,16,0
CR-1303,90291,646,0.57,0.64,299529,11,1
CR-1304,80043,667,0.52,0.68,555153,10,1
CR-1305,120900,700,0.43,0.71,567327,3,0
CR-1306,89977,727,0.44,0.65,535069,5,0
CR-1307,96710,744,0.19,0.68,349851,6,0
CR-1308,129135,744,0.39,0.75,360678,14,0
CR-1309,63573,751,0.51,0.9,210156,12,0
CR-1310,70797,724,0.53,0.85,701163,17,0
CR-1311,103910,648,0.5,0.62,375279,8,0
CR-1312,148333,629,0.44,0.86,359981,16,1
CR-1313,155987,628,0.31,0.87,321300,8,0
CR-1314,82458,662,0.3,0.8,644018,10,0
CR-1315,116276,746,0.23,0.78,242276,20,0
CR-1316,164614,576,0.22,0.82,460571,2,0
CR-1317,65225,571,0.54,0.61,420930,14,1
CR-1318,53394,792,0.51,0.8,392899,10,0
CR-1319,159776,573,0.43,0.65,249298,2,0
CR-1320,44944,621,0.43,0.62,472285,9,0
CR-1321,162600,604,0.47,0.92,641571,19,1
CR-1322,146307,562,0.57,0.9,480220,7,1
CR-1323,82356,807,0.22,0.83,580403,17,0
CR-1324,102817,793,0.33,0.91,474823,8,0
CR-1325,139629,686,0.56,0.65,595333,1,0
CR-1326,71370,785,0.22,0.95,663915,16,0
CR-1327,87605,573,0.38,0.83,600694,6,0
CR-1328,62964,767,0.32,0.66,625712,5,0
CR-1329,103844,667,0.57,0.89,440818,11,0
CR-1330,116853,608,0.5,0.7,545532,20,1
CR-1331,57884,752,0.37,0.82,511052,13,0
CR-1332,147838,714,0.18,0.69,311541,5,0
CR-1333,80280,608,0.45,0.89,636505,14,1
CR-1334,99236,783,0.51,0.67,343716,13,0
CR-1335,64584,636,0.38,0.72,586838,8,1
CR-1336,61518,657,0.22,0.66,641028,20,0
CR-1337,108021,610,0.37,0.61,645889,1,0
CR-1338,158593,612,0.49,0.8,408192,9,1
CR-1339,124630,676,0.47,0.95,543602,11,0
CR-1340,55671,593,0.37,0.96,501922,4,0
CR-1341,75091,611,0.4,0.62,387020,7,0
CR-1342,68978,689,0.21,0.91,693127,5,0
CR-1343,74816,796,0.18,0.68,613651,3,0
CR-1344,140875,564,0.27,0.64,654214,15,0
CR-1345,144279,675,0.19,0.68,508625,12,0
CR-1346,95968,760,0.44,0.68,256217,19,1
CR-1347,147909,785,0.38,0.85,467844,5,1
CR-1348,150522,768,0.34,0.68,406186,14,0
CR-1349,117343,820,0.54,0.92,566866,13,0
